idFilm;idAktor
16;51
47;74
32;52
51;45
52;21
40;25
67;74
14;53
66;72
46;0
5;29
54;32
63;54
41;81
69;1
25;5
5;13
45;1
69;51
33;16
40;13
25;6
19;21
62;24
3;49
36;48
13;72
27;70
14;50
52;2
28;15
23;78
46;37
36;46
14;95
17;63
52;75
50;19
35;58
36;92
68;21
18;47
17;81
32;80
47;71
4;97
3;90
34;10
42;54
4;64
1;62
65;83
55;59
44;89
47;20
32;23
37;58
60;45
64;22
5;12
63;16
14;44
39;46
28;39
11;66
37;81
44;22
69;74
32;73
69;61
62;95
39;74
34;11
24;14
45;88
63;5
37;23
11;59
16;57
53;33
20;42
35;95
15;75
28;57
57;46
32;4
68;64
46;50
67;19
57;75
37;18
50;24
52;26
4;61
65;59
20;76
27;69
42;7
20;82
63;12
15;62
62;10
60;27
29;93
0;13
34;71
59;91
1;7
44;90
64;24
54;18
63;39
31;44
5;2
25;76
18;80
17;62
22;41
1;94
2;62
12;55
57;11
66;91
45;12
69;78
34;7
5;17
9;44
2;36
14;89
49;67
13;23
52;88
25;4
15;46
39;14
25;68
27;1
65;6
11;34
25;52
38;26
58;87
67;20
50;6
1;96
6;99
59;24
16;71
48;13
57;44
35;82
48;12
66;45
4;6
34;70
59;27
12;39
39;75
66;31
38;78
18;37
5;89
26;20
8;98
18;13
45;99
45;75
2;43
43;23
60;36
27;34
8;17
6;56
35;83
42;22
0;83
4;34
62;60
56;76
26;58
8;56
14;60
55;49
7;20
35;96
1;67
37;45
33;78
40;64
14;86
40;72
54;34
22;3
38;14
9;71
48;6
41;36
42;58
27;84
