id;nazwa;dlugoscTrwania;dataDodania;cena
0;Nietykalni;101;01.07.2012;286
1;Forrest Gump;78;01.09.2012;260
2;¯ycie jest piêkne;113;01.11.2012;126
3;Green Book;105;01.01.2013;145
4;Œwiat³a wielkiego miasta;129;01.03.2013;228
5;Piêtro wy¿ej;80;01.05.2013;162
6;Brzd¹c;142;01.07.2013;164
7;Dzisiejsze czasy;134;01.09.2013;264
8;Rain Man;94;01.11.2013;191
9;Monty Python i Œwiêty Graal;62;01.01.2014;283
10;Zwierzogród ;63;01.03.2014;77
11;Noc na Ziemi;84;01.05.2014;133
12;¯ywot Briana;60;01.07.2014;205
13;Mary i Max;114;01.09.2014;197
14;Czas Cyganów;72;01.11.2014;84
15;Pó³ ¿artem, pó³ serio;136;01.01.2015;71
16;Sens ¿ycia wg Monty Pythona;89;01.03.2015;262
17;Deszczowa piosenka ;124;01.05.2015;132
18;A teraz coœ z zupe³nie innej beczki ;84;01.07.2015;95
19;Underground;68;01.09.2015;245
20;Cudowny ch³opak;69;01.11.2015;197
21;Amarcord;72;02.11.2015;95
22;Jak rozpêta³em drug¹ wojnê œwiatow¹ ;107;03.11.2015;179
23;Ich noce;80;04.11.2015;178
24;Kawa i papierosy III;144;05.11.2015;139
25;Ch³opaki nie p³acz¹;112;06.11.2015;95
26;Kowboj Bebop: Pukaj¹c do nieba bram ;65;07.11.2015;282
27;Genera³;112;08.11.2015;70
28;Wyspa psów;122;09.11.2015;162
29;Zelig;118;20.12.2015;145
30;Gor¹czka z³ota;83;30.01.2016;77
31;Miœ;97;11.03.2016;89
32;By³ sobie pies ;134;21.04.2016;90
33;Shrek;118;01.06.2016;189
34;Seksmisja;102;12.07.2016;103
35;Paperman;125;22.08.2016;125
36;Dzieñ œwira;115;02.10.2016;184
37;Lekarstwo na mi³oœæ;80;12.11.2016;296
38;Jutro bêdziemy szczêœliwi;69;23.12.2016;216
39;Grand Budapest Hotel;97;02.02.2017;120
40;Grand Budapest Hotel;92;15.03.2017;204
41;Dym;141;25.04.2017;159
42;Wielka w³óczêga;70;05.06.2017;162
43;Oko w oko z ¿yciem;64;16.07.2017;214
44;Kiler;68;26.08.2017;170
45;Wielka Szóstka;130;06.10.2017;267
46;Garsoniera;72;01.11.2017;101
47;Mi³oœæ i œmieræ;75;27.11.2017;141
48;Zaburzenie czêœciowe;124;23.12.2017;184
49;Wielkie piêkno;104;18.01.2018;103
50;Dobrze siê k³amie w mi³ym towarzystwie;139;13.02.2018;103
51;Noc po ciê¿kim dniu;140;11.03.2018;103
52;Poci¹g ¿ycia;140;06.04.2018;279
53;Benny i Joon;134;02.05.2018;242
54;Harold i Maude;81;28.05.2018;132
55;Gangsterzy i filantropi;86;23.06.2018;293
56;Sma¿one zielone pomidory;123;19.07.2018;99
57;Deadpool 2;105;14.08.2018;196
58;Ziemia niczyja;99;09.09.2018;116
59;Dyskretny urok bur¿uazji;106;05.10.2018;144
60;Kawa i papierosy;149;31.10.2018;209
61;Szarada;127;26.11.2018;84
62;Rocky Horror Picture Show;135;22.12.2018;277
63;Choæ goni nas czas;78;17.01.2019;197
64;Zapl¹tani;77;12.02.2019;235
65;Z³oto dla zuchwa³ych;111;10.03.2019;251
66;Brazil;127;05.04.2019;224
67;Mê¿czyzna imieniem Ove;134;01.05.2019;262
68;Sklep na rogu;106;27.05.2019;165
69;Patch Adams;101;22.06.2019;140
